outgoing,ingoing,time,added
https://www.roomtoread.org/take-action/,https://fundeasy.com/blog/sm-checklist-virtual-events,0:02:45,
,https://fundeasy.com/blog/storytelling-in-campaigns,0:02:45,A8332B8B-6947-415A-8709-157C64FE2484
applewebdata://A8332B8B-6947-415A-8709-157C64FE2484/attendance,/blog/how-important-is-a-website,0:02:45,squarespace-cdn.com
https://www.constantcontact.com/blog/monthly-giving/,/ghostplugincrowdfunding/easy-to-share,0:02:45,ministrysync.com
https://watch.angelstudios.com/thechosen,/blog/underwriters-vs-matching-gifts,0:02:45,chooselifepromo.com
"javascript: lightview_ajax(WEB_ROOT+'/home/Participants.php?a=get_participants&eid='+20086+'&sort=rank&non_rank=0&pos='+walker_results_load+'&lightview=on&is_mobile='+IS_MOBILE, '', true);",https://secure.fundeasy.com/ministrysync/event/website/?m=4891638,0:02:45,fundraisingmasterminds.net
https://www.formstack.com/resources/blog-how-to-choose-the-right-crm-for-your-business,https://fundeasy.com/blog/using-crms-for-event-management,0:02:45,breezycontent.com
https://images.squarespace-cdn.com/content/v1/60366aa6d218c23a7c6ac406/1693844158029-GCMBGTZRD0KHG2P8WXZ6/AdobeStock_177616058%2B%25281%2529.jpg,http://www.fundeasy.com,0:02:45,marinemammalcenter.org
https://donorbox.org/nonprofit-blog/year-end-giving,https://www.pinterest.com/pin/create/link/?description=&media=https://images.squarespace-cdn.com/content/v1/60366aa6d218c23a7c6ac406/1663696069027-Q7S93DWNCHHCMNDLOM61/AdobeStock_133739956.jpeg&url=https%3A%2F%2Ffundeasy.com%2Fblog%2Fhow-to-raise-money-via-crowdfunding,0:02:45,EECA7349-F5FB-456A-89EC-8EF0DF949728
https://drive.google.com/uc?export=download&id=1Q-IqxmfxcaYBzH_YjLbCF1jQlaoqPW4Q,https://fundeasy.com/blog/10-strategic-ways-to-engage-major-donors-in-donor-events?rq=donor,0:02:45,teamgold.co
https://images.squarespace-cdn.com/content/v1/60366aa6d218c23a7c6ac406/1679348909366-J4S5SOOQL9LZNPNPAM1H/RGB_Crowdfunding_Horizontal_Orange.png,/blog?offset=1599127253488&author=603d414c65fb7d563131ab7e,0:02:45,smartgivers.org
https://twitter.com/FundEasy?s=20&t=vUpjrmYAkekH_Rqrj64pyg,https://fundeasy.com/blog/online-fundraising-best-practices-guide,0:02:45,definefinancial.com
https://www.causevox.com/blog/types-of-year-end-fundraising-emails/,https://www.pinterest.com/pin/create/link/?description=&media=https://images.squarespace-cdn.com/content/v1/60366aa6d218c23a7c6ac406/1674068126647-MMC7YD70B9O7U4AKR2TI/AdobeStock_414488250_Editorial_Use_Only.jpeg&url=https%3A%2F%2Ffundeasy.com%2Fblog%2Finvesting-in-social-media-for-nonprofits,0:02:45,keenermarketing.com
javascript:ToggleChurch();,https://www.fundeasy.com,0:02:45,kirkwalden.com
https://chooselifepromo.com/product-category/videos/,/blog/improved-user-permissions,0:02:45,winspireme.com
https://www.donorperfect.com/whitepapers/generic/monthly-donor-metrics/,https://www.pinterest.com/pin/create/link/?description=&media=https://images.squarespace-cdn.com/content/v1/60366aa6d218c23a7c6ac406/1667234378944-27PMVHAVPSSQ0SO9L6L5/AdobeStock_435341034.jpeg&url=https%3A%2F%2Ffundeasy.com%2Fblog%2Fget-the-most-out-of-year-end-giving,0:02:45,
https://docs.google.com/forms/d/e/1FAIpQLSfOUxBRtDtOSZ4oVccuXovbW8FLd_1urdM4zlPk4A6e0veQpQ/viewform?usp=send_form,https://fundeasy.com/peer-to-peer-fundraising-platform#free-guide-online-bbc,0:02:45,
https://www.canva.com/design/DAFPmuDF9Xw/gOOnUSCa3Bw4bJbmBXzXjw/view?mode=preview&utm_content=DA%5B%E2%80%A6%5Designshare&utm_medium=link&utm_source=sharebutton,https://fundeasy.com/bbc-resources-page,0:02:45,
https://drive.google.com/uc?export=download&id=1svwrpcAz-Ozh77PmehmgXD_4KGsJsj3P,/blog?offset=1675096526634&author=633b6ecfcde9ef6fa0b0f55a,0:02:45,
https://drive.google.com/uc?export=download&id=1s8BNLMgx-QPNsYwiT_cUpMUaT6l9T0DS,https://www.pinterest.com/pin/create/link/?description=&media=https://images.squarespace-cdn.com/content/v1/60366aa6d218c23a7c6ac406/1678397219992-92YBPANG9949UD2FE0UX/Webinar+Thumbnails+%28YouTube%29+%281%29.png&url=https%3A%2F%2Ffundeasy.com%2Fblog%2Fempowering-your-table-hosts-webinar,0:02:45,
https://drive.google.com/drive/folders/1wDiIIqzZPCR7eVMJdsAdRsS1ZsiCGnHq?usp=sharing,/blog/conducting-a-successful-virtual-fundraiser,0:02:45,
https://www.pexels.com/photo/happy-multiethnic-women-having-fun-while-using-gadgets-in-cafeteria-4350210/,/blog/how-to-encourage-fundraising,0:02:45,
https://drive.google.com/uc?export=download&id=1VmY4P_P1vxWQFiCbBWKSSv4EwIFP8PoI,/blog/5-steps-to-set-up-a-matching-program,0:02:45,
javascript:void($('NewGroupHostField').style.display='block'); $('NewGroupName').focus();,/ghostpluginattendance/live-check-in,0:02:45,
https://fortune.com/2014/04/17/why-investors-are-pouring-millions-into-crowdfunding/,http://fundeasy.com/contact,0:02:45,
https://targetmarket.com/2020/06/the-best-social-media-practices-to-reach-boomers-gen-x-gen-y-and-gen-z/,/blog/components-of-a-compelling-appeal,0:02:45,
https://images.squarespace-cdn.com/content/v1/60366aa6d218c23a7c6ac406/1679348909989-8LDUKPMMWX22VQ97BFFI/RGB_Attendance_Horizontal_Blue+%281%29.png,/blog/april-2022-product-updates,0:02:45,
https://images.squarespace-cdn.com/content/v1/60366aa6d218c23a7c6ac406/1693844088074-8YSW22SNZ4RYE57SDO0Z/AdobeStock_114921387+%281%29.jpeg,https://www.pinterest.com/pin/create/link/?description=&media=https://images.squarespace-cdn.com/content/v1/60366aa6d218c23a7c6ac406/1683742452883-7K5DOFPB5OZ2DL7BRHYC/Webinar+Thumbnails+%28YouTube%29+%285%29.png&url=https%3A%2F%2Ffundeasy.com%2Fblog%2Fmicro-events-incorporating-them,0:02:45,
https://blog.hubspot.com/marketing/how-to-do-keyword-research-ht,https://fundeasy.com/blog/providing-a-5-star-major-donor-experience,0:02:45,
https://app.ministrysync.com/account/emailsignup?page=P2P&period=monthly&plan=P2PStandard,https://www.pinterest.com/pin/create/link/?description=&media=https://images.squarespace-cdn.com/content/v1/60366aa6d218c23a7c6ac406/1635880487003-8VK2V08M2N1LYJBOTI4M/Webinar+Thumbnails+%2819%29.png&url=https%3A%2F%2Ffundeasy.com%2Fblog%2Ffundraising-dinners-why-sponsorships-underperform,0:02:45,
https://p2p-help.groovehq.com/help,/blog?author=633b6ecfcde9ef6fa0b0f55a,0:02:45,
https://www.canva.com/design/DAFNFIF6IGY/cxLvZoyRQ9GyDZW2_ynIvw/view?mode=preview&utm_content=DA%5B%E2%80%A6%5Designshare&utm_medium=link&utm_source=sharebutton,https://fundeasy.com/blog/26-fundraising-ideas-for-any-cause,0:02:45,
https://kindful.com/blog/year-end-giving-statistics/,/blog?offset=1674069258821&reversePaginate=true&author=633b6ecfcde9ef6fa0b0f55a,0:02:45,
https://mailchimp.com/resources/19-new-year-tips/,/blog/event-fundraising-vs-crowd-fundraising,0:02:45,
"https://datareportal.com/global-digital-overview#:~:text=A%20total%20of%205.03%20billion,12%20months%20to%20July%202022.",/blog/2021-a-year-in-review,0:02:45,
https://kindful.com/blog/8-steps-build-successful-year-end-giving-campaign/,/ghostplugincrowdfunding/automatic-receipts,0:02:45,
https://www.simplilearn.com/benefits-of-social-media-marketing-article,https://fundeasy.com/legal,0:02:45,
https://blog.handbid.com/blog/how-to-attract-younger-audiences-to-your-fundraising-event,/blog/july-2022-product-updates,0:02:45,
javascript:void(0);,https://www.pinterest.com/pin/create/link/?description=&media=https://images.squarespace-cdn.com/content/v1/60366aa6d218c23a7c6ac406/1685480124822-RZKL0124KQWF9M194HGE/shutterstock_526817902.png&url=https%3A%2F%2Ffundeasy.com%2Fblog%2F8-types-of-events-designed-for-women,0:02:45,
javascript: void(0);,https://www.pinterest.com/pin/create/link/?description=&media=https://images.squarespace-cdn.com/content/v1/60366aa6d218c23a7c6ac406/1679345774325-7MBKOTDH85RKAVDSDYEK/AdobeStock_443449956.jpeg&url=https%3A%2F%2Ffundeasy.com%2Fblog%2F5-ways-to-reengage-lapsed-donors,0:02:45,
https://docs.google.com/document/d/14UjpayyYVo40qclEogtisJSAcRBLjV3JNyUgwvgP53k/edit#heading=h.z1repetkg88u,/blog/3-keys-to-increasing-peer-to-peer-participation,0:02:45,
https://chooselifepromo.com/product/baby-bottle-campaign-video/,https://www.pinterest.com/pin/create/link/?description=&media=https://images.squarespace-cdn.com/content/v1/60366aa6d218c23a7c6ac406/1665602869144-DGH0KGLNQNKD4IP3B4IR/Webinar+Thumbnails+%28YouTube%29.png&url=https%3A%2F%2Ffundeasy.com%2Fblog%2Fyear-end-fundraising-strategy-webinar,0:02:45,
https://www.fidelitycharitable.org/insights/2021-future-of-philanthropy/technology.html#:~:text=While%20significant%20numbers%20of%20donors%20are%20using%20these%20tools%2C%20the%20movement%20is%20being%20led%20by%20Millennials.%20The%20younger%20generation%20is%20much%20more%20likely%20to%20have%20used%20mobile%20devices%2C%20social%20media%20and%20other%20digital%20tools%20to%20engage%20in%20giving.,/blog/online-fundraising-best-practices-guide,0:02:45,
